model,meeting,block_id_standard,block_id_exclusive,flagged_standard,flagged_exclusive,commenter_mates_standard,commenter_mates_exclusive,concordant
gemma-4-4b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",234,229,1,0,2,1,1
gemma-4-4b,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",48,50,0,1,1,0,0
gemma-4-4b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",10,8,1,0,0,1,0
gemma-4-4b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",24,22,1,0,1,0,1
gemma-4-4b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",36,34,1,0,0,1,0
gemma-4-4b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",96,94,1,0,1,2,0
gemma-4-4b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",110,108,0,1,0,1,1
gemma-4-4b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",47,47,1,0,0,1,0
gemma-4-4b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",61,61,0,1,0,2,1
gemma-4-4b,"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",62,62,1,0,0,1,0
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",92,93,0,1,1,0,0
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",93,94,1,0,0,1,0
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",98,99,1,0,1,0,1
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",100,101,0,1,0,1,1
gemma-4-4b,"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",123,124,1,0,1,0,1
gemma-4-4b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",34,35,1,0,0,1,0
gemma-4-4b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",68,69,1,0,0,1,0
gemma-4-4b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",103,104,0,1,1,0,0
gemma-4-4b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",110,111,0,1,1,0,0
gemma-4-4b,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",112,113,1,0,0,1,0
gemma-4-4b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",111,110,1,0,1,2,0
gemma-4-4b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",150,149,1,0,2,0,1
gemma-4-4b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",158,157,0,1,0,1,1
gemma-4-4b,"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",161,160,0,1,1,0,0
gemma-4-4b,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",164,163,1,0,0,1,0
gemma-4-4b,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",183,182,1,0,0,1,0
gemma-4-4b,"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",189,188,1,0,0,1,0
gemma-4-4b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",56,55,0,1,2,1,0
gemma-4-4b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",57,56,1,0,0,2,0
gemma-4-4b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",81,80,1,0,0,1,0
gemma-4-4b,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",91,90,1,0,0,1,0
gemma-4-4b,"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",20,22,1,0,1,0,1
gemma-4-4b,"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",25,27,0,1,0,1,1
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",105,104,1,0,0,1,0
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",115,114,0,1,1,0,0
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",131,132,0,1,0,1,1
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",132,133,1,0,1,2,0
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",134,135,0,1,1,0,0
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",135,136,1,0,1,0,1
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",138,139,0,1,1,2,1
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",139,140,1,0,0,1,0
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",195,194,1,0,1,0,1
gemma-4-4b,"Planning Commission - August 6, 2025 [m50W4pVkNb4]",215,214,1,0,1,0,1
gemma-4-4b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",134,136,0,1,1,0,0
gemma-4-4b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",144,146,1,0,1,0,1
gemma-4-4b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",153,155,1,0,1,0,1
gemma-4-4b,"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",163,165,1,0,1,0,1
gemma-4-4b,"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",86,83,0,1,1,0,0
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",112,110,1,0,2,1,1
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",113,111,0,1,1,0,0
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",154,153,0,1,0,1,1
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",158,157,0,1,1,0,0
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",162,161,1,0,0,1,0
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",182,181,0,1,1,2,1
gemma-4-4b,"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",187,186,1,0,2,1,1
ministral-8b,"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",48,50,1,0,1,0,1
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",10,8,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",12,10,0,1,1,0,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",20,18,0,1,1,0,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",27,25,1,0,0,1,0
ministral-8b,"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",36,34,1,0,0,1,0
