meeting,block_id,votes,of,models_voting_yes,speaker,start,text_snippet
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",56,1,5,gemma-4-4b,SPEAKER_00,1695.52,campbell thank you very much and the memo that you provided to council laying this out ahead of time was extremely helpful i wanted to go back to that second projection slide and just to be clear about what is projected on there and what isn't projected on there so you mentioned um it assumes no own
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",58,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,1732.58,thank you council president counselor med uh thank you mr vice president thank you uh director Campbell. My question is given that there was a structural deficit in the general fund even after home rule I appreciate the projections. I do have some concerns about like the sustainability of the elimin
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",60,1,5,phi-4,SPEAKER_00,1796.66,needs to be needs to be worked with and thank you and also my other question was what the 2007 bond paying that off do we not have the debt service to take on do
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",63,1,5,phi-4,UNKNOWN,1994.55,general fund so if we have that there's also a little bit more flexibility with the water fund as well great Thank You councillor Hirsch Thank You council vice president thank you director Campbell for the presentation my
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",64,2,5,gemma-4-4b;phi-4,SPEAKER_00,2009.87,question is around the areas of focus for cost savings that you mentioned so deployment health care focusing on cutting costs their debt elimination and the deployment of you know technologies that might save us cost over the long
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",65,2,5,gemma-4-4b;phi-4,UNKNOWN,2027.32,term my question is just is there any sense of what those savings are going to mean year over year and then in the long run of this projection that we're
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",66,1,5,phi-4,SPEAKER_00,2039.5,looking at here and I know that I'm sure a lot of that is kind of nebulous like
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",67,1,5,phi-4,UNKNOWN,2049.4,it's hard to know exactly what savings will come from like some of these investments that we're making but is there any general sense because I think as we're looking at this projection and we're thinking about to what extent do
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",68,1,5,phi-4,SPEAKER_00,2063.85,we balance strengthening the position of the water fund by reducing the transfer from there to the general fund versus this picture here where we would you know see deficits in the future yeah I mean I don't have numbers with me tonight I will say we have not included these cost savings in these pro
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",75,3,5,gemma-4-4b;ministral-8b;phi-4,UNKNOWN,2203.44,cost savings going to be you know ten million dollars over the next ten years is it gonna be 20 is it gonna be 30 I don't know I'm not sure that I could say it would be 30 million over the next 10 years be quite impressive but the reason
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",76,2,5,ministral-8b;phi-4,SPEAKER_00,2225.5,"I guess I'm asking that question is just because I'm looking at you know 2035 we're saying the fund balance would be negative 54 and again, this is assuming no water transfer This is assuming, you know, none of these cost savings that we would realize it might be conservatively estimating Revenue gr"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",77,2,5,ministral-8b;phi-4,UNKNOWN,2262.12,dollars that year you'd want it to be somewhere in the ballpark of 15 to 20 million so how do we get 70 million dollars over the next 10 years outside of the assumptions that are baked into
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",90,2,5,gemma-4-4b;phi-4,SPEAKER_00,2807.1,lot of assumptions it is still a 28.5 million dollar flip in a 60 70 million dollar uh general fund budget in in 12 months um i guess my questions oh and what one more um i guess this is a question for confirmation i recall in previous years director hopkins saying that the reason we make these tran
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",91,1,5,phi-4,UNKNOWN,2870.74,number one how does the um rate case play into these considerations can the city make the case to the puc that look we have this debt we have this infrastructure we have to build we should
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",92,1,5,phi-4,SPEAKER_00,2885.54,be able to ask outside city rate payers to pay a little bit more and then continue this this transfer rather than hit the general fund and second question did i understand correctly that we are planning additional borrowing uh to fund water improvements and uh is the condition of the
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",102,1,5,gemma-4-4b,SPEAKER_00,2992.24,really closely as well because that then also affects interest rates yeah I think part of this Tim is that yes we have known that the water fund is needed and if you talk to the other director Campbell and he like this has been a sore a source of much consternation this this four million dollar tran
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",114,1,5,qwen3.5-9b-q6,SPEAKER_00,3284.34,mr. president public comment Amos thoughts who is one or block of South
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",116,1,5,qwen3.5-9b-q6,SPEAKER_00,3297.76,have to uh remind me uh so i think in the in the police budget they were trying to get up to the 128 staff members and we're at 110 i think it's about 105 right now 105. so you know i mean and
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",117,1,5,phi-4,UNKNOWN,3312.8,i also will say like i greatly appreciate these projections i think it allows us to have this conversation uh in a way that we couldn't if you weren't projecting out this for this long so it
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",118,3,5,gemma-4-4b;ministral-8b;phi-4,SPEAKER_00,3321.44,is very helpful but i'm wondering why are we not considering uh you know kind of a phased approach to trying to get to that 128 number uh with the police department i i work very closely with the police department i'm in the citizen police academy right now i understand that they're understaffed and
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",119,1,5,phi-4,UNKNOWN,3355.34,isn't looking at more of a phased approach to getting us up to full
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",120,1,5,ministral-8b,SPEAKER_00,3358.04,staffing with the police department because our overtime budget is out of control whatever we are over eight hundred thousand dollars we're over a million dollars in overtime and that's not sustainable for our team and the hours that staff have been working i don't think it is particularly good for 
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",168,3,5,gemma-4-4b;qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_00,4350.89,a lot more resources and coordinations we might need supplies technology equipment the events remain the core part of our cities like activation drawing people downtown support
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",169,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,UNKNOWN,4362.97,for economic the identity of the city and community pride there's so many residents that we're tracking right now that are coming from the neighborhoods to really celebrate the
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",170,2,5,qwen3.5-9b-q6;qwen3.5-9b-q8,SPEAKER_00,4372.65,city in the downtown area and the increase in sponsorship requests is primarily tied to activating bins park yule plaza and penn square and making some upgrades across all of our special
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",171,1,5,phi-4,UNKNOWN,4385.93,event lineup we want our goal is to continue elevating local talent but we also want to
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",172,1,5,phi-4,SPEAKER_00,4390.97,couple it in and bring in some headline performers into special events in 2026 and we're doing this with a small and mighty team that we're very proud of so the what we're requesting from Council is an addition of one part-time person that wouldn't technically start until the end of once the Welcome
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",183,1,5,phi-4,UNKNOWN,4631.42,"that's at the state level. And so that's tourism. We were able to apply,"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",184,1,5,phi-4,SPEAKER_00,4636.1,"we received funding last year related to NAP. We tested it, and as you can see, there's $18,000. To take that in 2024 from $18,000 and then 2025 to increase it to $200,000 is really the extraordinary opportunity. So leveraging grants, sponsorship, and state funding opportunities is kind of the portf"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",185,1,5,phi-4,UNKNOWN,4661.36,"I think we have a lot of opportunity that we've been missing out on, so it'll be exciting to report out on the progress next year. Yeah, I agree. Thank you."
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",201,1,5,gemma-4-4b,UNKNOWN,4846.24,"So whether we're engaging with our civic engagement programs, who is not at the table,"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",204,1,5,gemma-4-4b,SPEAKER_00,4865.98,lancaster residents thank you thank you so much director carasco no further questions thank you thank you any additional questions or comments from council councilor mitt uh thank you mr vice president thank you director carasco for the presentation um what are some ways that we can increase revenue
