model,meeting,theme,block_id_standard,block_id_exclusive,score_standard,score_exclusive,abs_delta,crosses_half
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,0,0,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,0,0,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,0,0,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,0,0,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,1,1,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,1,1,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,1,1,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,1,1,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,2,2,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,2,2,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,2,2,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,2,2,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,3,3,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,3,3,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,3,3,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,3,3,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,4,4,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipal_process,4,4,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",municipally_managed_resources,4,4,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",power_dynamics_and_inequality,4,4,0.0,0.0,0.0,0
deepseek-r1-7b,"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",health_and_well_being,5,5,0.0,0.0,0.0,0
