meeting,min_iou,one_to_one_rate,one_to_one,split,merge,tangle,unmatched_a,unmatched_b
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",0.05,0.9514,235,0,3,2,0,0
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",0.1,0.9595,237,0,3,1,0,0
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",0.25,0.9636,238,0,2,1,2,0
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",0.5,0.9636,238,0,0,0,9,4
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",0.75,0.9595,237,0,0,0,10,5
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",0.05,0.9706,66,0,0,1,0,0
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",0.1,1.0,68,0,0,0,0,0
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",0.25,1.0,68,0,0,0,0,0
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",0.5,1.0,68,0,0,0,0,0
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",0.75,1.0,68,0,0,0,0,0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",0.05,0.8182,9,0,0,1,0,0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",0.1,1.0,11,0,0,0,0,0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",0.25,1.0,11,0,0,0,0,0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",0.5,1.0,11,0,0,0,0,0
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",0.75,1.0,11,0,0,0,0,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",0.05,0.9701,65,0,0,1,0,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",0.1,0.9701,65,0,0,1,0,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",0.25,1.0,67,0,0,0,0,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",0.5,1.0,67,0,0,0,0,0
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",0.75,0.9851,66,0,0,0,1,1
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",0.05,0.9412,48,1,0,1,0,0
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",0.1,0.9412,48,1,0,1,0,1
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",0.25,0.9804,50,1,0,0,0,1
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",0.5,0.9804,50,0,0,0,1,3
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",0.75,0.9804,50,0,0,0,1,3
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",0.05,0.9348,43,0,1,0,0,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",0.1,0.9348,43,0,1,0,1,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",0.25,0.9348,43,0,1,0,1,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",0.5,0.9565,44,0,0,0,2,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",0.75,0.9348,43,0,0,0,3,1
