meeting,blocks_standard,blocks_exclusive,one_to_one,split,merge,tangle,unmatched_standard,unmatched_exclusive,one_to_one_rate,aligned_same_text,aligned_diff_text
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]",247,242,237,0,3,1,0,0,0.9595,235,2
"City Council Committee Meeting - August 11, 2025 [6DXgO59xzeU]",68,68,68,0,0,0,0,0,1.0,66,2
"City Council Committee Meeting - August 19, 2025 [y43uOm0ct38]",11,11,11,0,0,0,0,0,1.0,9,2
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]",67,67,65,0,0,1,0,0,0.9701,65,0
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]",51,53,48,1,0,1,0,1,0.9412,48,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]",46,44,43,0,1,0,1,0,0.9348,43,0
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]",153,151,148,0,1,1,0,0,0.9673,148,0
"City Council Committee Meeting - May 5, 2025 [aG_PgLEdQ8s]",77,78,77,0,0,0,0,1,1.0,76,1
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",243,243,241,0,0,1,0,0,0.9918,241,0
"City Council Committee Meeting - September 16, 2025 [XzF6-XCVRFc]",65,67,62,1,0,1,0,1,0.9538,62,0
"City Council Committee Meeting - September 2, 2025 [bNf9xj20-xg]",94,94,90,0,0,2,0,0,0.9574,90,0
"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]",96,92,87,0,3,0,2,2,0.9062,84,3
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]",208,205,201,1,2,0,2,0,0.9663,201,0
"City Council Meeting - August 12, 2025 [Pg4nxjg-PUw]",114,114,114,0,0,0,0,0,1.0,112,2
"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]",86,86,86,0,0,0,0,0,1.0,86,0
"City Council Meeting - June 10, 2025 [PqPxK5dVghI]",129,130,128,1,0,0,0,0,0.9922,128,0
"City Council Meeting - March 11, 2025 [fWjyrXs1ebs]",181,179,179,0,0,0,2,0,0.989,178,1
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]",166,165,162,0,1,1,0,0,0.9759,160,2
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]",195,194,193,0,1,0,0,0,0.9897,193,0
"City Council Meeting - May 27, 2025 [vexHgMfzvKE]",95,94,93,0,1,0,0,0,0.9789,93,0
"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]",117,117,117,0,0,0,0,0,1.0,115,2
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]",35,35,30,0,1,1,1,2,0.8571,29,1
"Planning Commission - August 6, 2025 [m50W4pVkNb4]",221,220,211,1,2,2,0,0,0.9548,211,0
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]",275,275,271,1,1,0,0,0,0.9855,271,0
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]",106,103,101,0,2,0,0,0,0.9528,99,2
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]",193,192,187,1,2,0,1,1,0.9689,187,0
