meeting,models_ran,blocks_total,blocks_flagged_by_any,unanimous,majority_agreed,contested,contested_share
"City Council Ethics Code Work Session - November 6, 2025 [VZRKugPc6QU]",5,198,9,0,1,9,1.0
Press Conference - Data Center Community Benefits Agreement [WHN2o2S6X-Q],5,60,7,0,3,7,1.0
"Home Rule Transition Committee Meeting - October 29, 2025 [mPnWxdvDGQA]",5,53,5,0,0,5,1.0
"Planning Commission Meeting - October 15, 2025 [4rFO0GO6nwU]",5,3,3,0,0,3,1.0
"City Council Committee Meeting - November 3, 2025 [nE5HiAtqwpA]",5,447,127,4,25,123,0.969
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_standard",5,106,28,1,12,27,0.964
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",5,451,90,4,22,86,0.956
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",5,280,61,3,14,58,0.951
"City Council Meeting - November 25, 2025 [Re1Nhz9g1aM]",5,196,36,2,8,34,0.944
Planning Commission [vqNOsyBYp08],5,46,18,1,6,17,0.944
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_standard",5,51,16,1,10,15,0.938
"Planning Commission Meeting - September 3, 2025 [5PuBv9zFX3I]_exclusive",5,103,31,2,12,29,0.935
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]_exclusive",5,67,11,1,3,10,0.909
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]_standard",5,67,11,1,3,10,0.909
"Traffic Commission Meeting - November 11, 2025 [Wof-B6HAg2g]",5,220,63,6,29,57,0.905
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_standard",5,153,51,5,24,46,0.902
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",5,247,78,9,29,69,0.885
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_exclusive",5,53,16,2,9,14,0.875
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_exclusive",5,151,45,6,22,39,0.867
"City Council Meeting - June 24, 2025 [oisLME2wIuo]",5,63,22,3,12,19,0.864
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_exclusive",5,242,70,10,23,60,0.857
"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",5,109,28,4,14,24,0.857
HARB Meeting March 4 2025 [jXEH5zsabJU],5,14,7,1,4,6,0.857
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]_exclusive",5,35,7,1,2,6,0.857
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_exclusive",5,192,80,12,32,68,0.85
"Traffic Commission March 11, 2025 [r8TO3Zdd1uI]_standard",5,193,71,11,30,60,0.845
"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",5,80,24,4,14,20,0.833
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_exclusive",5,44,12,2,8,10,0.833
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_standard",5,46,12,2,8,10,0.833
"Home Rule Transition Committee Meeting - July 29, 2025 [c0vXcHFIjvA]_standard",5,35,6,1,2,5,0.833
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]_standard",5,275,109,20,55,89,0.817
"Planning Commission Meeting - September 17, 2025 [sM9P2_ZC46M]_exclusive",5,275,102,19,51,83,0.814
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",5,319,109,21,62,88,0.807
"City Council Committee Meeting - September 16, 2025 [XzF6-XCVRFc]_exclusive",5,67,15,3,6,12,0.8
"City Council Committee Meeting - September 16, 2025 [XzF6-XCVRFc]_standard",5,65,15,3,6,12,0.8
"City Council Meeting - September 23, 2025 [zwszv7wUGc0]",5,58,18,4,10,14,0.778
"City Council Meeting - November 11, 2025 [X3DupuiqLts]",5,259,85,19,45,66,0.776
