meeting,block_id,direction,text
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",271,dropped_in_rerun,"IN PARTICULAR, WATER RATES FALL ON THE UNTAXABLE PROPERTIES THAT DO NOT PAY PROPERTY TAXES AND THOSE INCLUDE SOME PRETTY AFFLUENT ENTITIES INCLUDING F&M AND LGH, ALSO INCLUDES COUNTY government i don't know you know how you could model the incidence of doing a partial transfer leaving something in h"
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",270,added_in_rerun,"TAXPAYERS, THOSE ARE DIFFERENT CLASSES."
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",411,dropped_in_rerun,from what i've seen it's worse than thankless it's i've seen the abuse that some of them endure and
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",412,added_in_rerun,it's unfortunate it's a bad reflection on our drivers particularly in our community and i would just say i do really hope that i told sergeant summerall that i hope that he proves me wrong and fills every one of those positions i would love to see that as well thank you
"City Council Committee Meeting - April 1, 2025 [kplLo-BL1w0]_standard",44,added_in_rerun,"First, the most recent incident that most people are here for with the March 2nd, given that this involved minors, is there a separate use of force policy and is there a separate reporting standard when it involves minors?"
"City Council Committee Meeting - July 1, 2025 [GduwovKQ8ek]_standard",57,added_in_rerun,members of the Public Works Committee or full council I can't recall if it's the resolutions accepting awards or if it's the application that mentions if there's a commitment or a match is there a commitment or a match with these MTF
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_exclusive",32,added_in_rerun,"and and uh just my like my final piece of kind of where like my thought process was going on this You know, there's been a lot of talks about tax exemptions for low-income earners, and a question that did come into my mind was, you know, through the admin code, would we be able to exempt any future "
"City Council Committee Meeting - July 15, 2025 [z0C4LoiIcxE]_standard",32,added_in_rerun,"and and uh just my like my final piece of kind of where like my thought process was going on this You know, there's been a lot of talks about tax exemptions for low-income earners, and a question that did come into my mind was, you know, through the admin code, would we be able to exempt any future "
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_exclusive",36,dropped_in_rerun,"Thank you. Great, I have one last thought of my own and I just wanna, well, thank you for putting this together. I particularly appreciate the tables that are included on the budget timeline and the other timelines because reading through that in the way it is presented in the charter is complicated"
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_exclusive",37,added_in_rerun,"in the 600 block of North Shippen and I have a couple questions one of them is on the procurement numbers and I was a bit surprised to see that the threshold for a public bid is just 23,000 and change that that seems like a pretty small sum for what strikes me as a fairly involved and onerous proced"
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_exclusive",8,added_in_rerun,"of being neutral okay that was sorry that's a little more concise yeah um during my tenure at Thaddeus Stevens, I ran and orchestrated or organized a program where we had to bring a lot of folks in to check out their ability to be biased in some of the decision-making pertaining to the college itsel"
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_exclusive",94,added_in_rerun,there things that you feel like as far as what the city is doing and getting us both the street trees and shade trees but also just its overall tree canopy things of the city should do better or what maybe things that are that are going well yeah I
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_exclusive",114,added_in_rerun,correct so the the original take on this or concept was that there would be nine units and a small speakeasy kind of bar restaurant um the reality was is that there wasn't a great way to fit that in and yeah still get units in there um and the bigger reality and the more important thing is that ther
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_standard",97,dropped_in_rerun,think that we could do change the traditional approach of just putting a single sidewalk street tree in to doing planting strips to doing cluster planting in areas where we're off the sidewalk a little bit uh and in that way create more habitat and more storm water reduction um i think that there co
"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",11,dropped_in_rerun,"Well, I think you've already been doing it. You know, like I said, just the way that Lancaster City has changed just in the last few years and certainly over the last 10 or 15 years or 20 years, I mean, it looks completely different than when I grew up. There's always a new coffee shop opening up, a"
"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",10,added_in_rerun,"Councillor Collins. Thank you, Mr. Grouch, for taking our questions and your willingness to serve. How can we use CRITS to help promote economic development and equitable economic development here in the city?"
