meeting,blocks_total,flagged_baseline,flagged_rerun,count_delta,added,dropped,changed,jaccard,identical
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_exclusive",243,50,52,2,4,2,6,0.8889,0
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]",31,15,12,-3,1,4,5,0.6875,0
"City Council Special Meeting - November 20, 2025 [aZVPtb9bsEE]",319,50,51,1,3,2,5,0.9057,0
"City Council Committee Meeting - October 6, 2025 [bubudvmIB_E]_standard",243,50,52,2,3,1,4,0.9245,0
"City Council Committee Meeting - June 2, 2025 [gyhG_Bp4bV4]_exclusive",151,32,35,3,3,0,3,0.9143,0
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_exclusive",205,45,46,1,2,1,3,0.9362,0
"City Council Meeting - April 8, 2025 [JNe8AGFZlIA]_standard",208,49,48,-1,1,2,3,0.94,0
"City Council Meeting - March 25, 2025 [Ifn8fwwBK0I]_exclusive",165,43,42,-1,1,2,3,0.9318,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_exclusive",194,50,53,3,3,0,3,0.9434,0
"Planning Commission - August 6, 2025 [m50W4pVkNb4]_exclusive",220,45,46,1,2,1,3,0.9362,0
"Traffic Commission Meeting - November 11, 2025 [Wof-B6HAg2g]",220,23,26,3,3,0,3,0.8846,0
"City Council Budget Hearing - November 18, 2025 [W6aSdOttjPk]",280,23,23,0,1,1,2,0.9167,0
"City Council Budget Hearing - October 21, 2025 [pkVzY-53sJI]",451,43,43,0,1,1,2,0.9545,0
"City Council Committee Meeting - June 17, 2025 [e_aXcEkzyEY]_exclusive",44,9,9,0,1,1,2,0.8,0
"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",109,21,21,0,1,1,2,0.9091,0
"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",126,36,34,-2,0,2,2,0.9444,0
"City Council Meeting - June 24, 2025 [oisLME2wIuo]",63,15,15,0,1,1,2,0.875,0
"City Council Meeting - May 13, 2025 [eDkBOrErMeE]_standard",195,54,56,2,2,0,2,0.9643,0
"City Council Meeting - October 28, 2025 [Ffwwu-vf22M]",220,63,63,0,1,1,2,0.9688,0
