condition,meeting,block_id,in_baseline,in_condition,speaker,start,word_count,text
A2_size3_off0_repeat,"City Council Committee Meeting - February 3, 2025 [aHT_ba_YwG8]",73,1,0,SPEAKER_05,3853.85,15,far in the consolidated plan thank you thank you for having us and we look
A2_size3_off0_repeat,"City Council Committee Meeting - March 3, 2025 [qEcut0Mpq30]",108,1,0,SPEAKER_06,5676.86,3,Puerto Rico citizen
A2_size3_off0_repeat,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",56,0,1,SPEAKER_10,3934.58,156,Jessica Lopez the felon with less felonies than our president huh so let me start by reminding you right that for the last five years I've been here more than every single one of yous in this room so we're user thick today I hope yous are thick in two weeks and I hope you're thick weeks after that b
A2_size3_off0_repeat,"City Council Meeting - April 29, 2025 [5N3AIQLoNPU]_standard",74,0,1,SPEAKER_03,4703.6,178,evening hello my name is taylor raymond i live on the 500 block of saint joseph street and i'm here for something not regarding ms diaz at all at previous meetings the administrative resolution 18 i was discussed regarding the disposition of certain police records we were told that it was just the p
A2_size3_off0_repeat,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",71,0,1,SPEAKER_09,4567.32,103,outside the city on the columbia app um i just wanted to request the council's help in pressuring the zoning officer and the mayor and showing up to any of the hearing hearings that are being proposed as i've heard from other sources the zoning officer has no interest in showing up to those and answ
A2_size3_off0_repeat,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",75,0,1,SPEAKER_03,4861.64,5,"Council President, if I may."
A2_size3_off0_repeat,"City Council Meeting - August 26, 2025 [WImQYrQa0EM]",77,1,0,SPEAKER_04,4866.22,324,"Just very briefly, wanted to thank our folks for coming out tonight to continue to advocate for how we want our community to be built in the future and sharing information. Also love the graphics that were also brought up here earlier, so thank you for all your hard work on that. One thing I do wann"
A2_size3_off0_repeat,"City Council Meeting - February 11, 2025 [JJbmuzCmd6s]_standard",55,1,0,SPEAKER_06,1522.2,319,miss geyser do you have anything to add yes thank you thanks for the summary uh the lengthy summary of our long amendments um this evening i just wanted to uh highlight two things um that we are recommending these changes presuming that we will get the 2025 cdbg funding for the city however with the
A2_size3_off0_repeat,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",112,0,1,SPEAKER_04,9520.64,592,i'm from the 100 block of north mary and i didn't initially come to see all of the capital plan but i'm glad i did because a lot of it was actually really interesting and helpful and there also are parts of that that i think apply to the data center one of which is spending four hundred thousand dol
A2_size3_off0_repeat,"City Council Meeting - July 22, 2025 [Y4mI4udbAfM]",113,0,1,SPEAKER_16,9702.58,353,mitchell uh 400 block of east grant street um and i also wasn't planning on speaking today so i'm just gonna kind of go for it and say what's in my heart um i just hearing the report from president vacay uh with a lot of those really sort of nice comforting uh details about you know the cooling span
A2_size3_off0_repeat,"City Council Meeting - June 10, 2025 [PqPxK5dVghI]_standard",49,0,1,SPEAKER_11,2624.6,34,any comments on this uh this appointment um i was just very impressed with um christopher mr sloth overall um his view on life and um his experience and background thank you very much
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",9,0,1,SPEAKER_03,450.28,515,lappy's new avenge chair um i just want to give a little background on me so i'm originally from harrisburg pa actually i come from a really traditional vietnamese family and they both on both sides they settled in the u.s as refugees because of the war and so growing up in central pa the dichotomy 
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",31,1,0,SPEAKER_12,1787.1,95,have not I've been working on my schooling the last few years and before that we were running a business so this is kind of the first time I've had any of the free time if you will to engage in something like this and I feel like this would be a great place to do it because I love this community I l
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",34,0,1,SPEAKER_12,1841.33,120,Commission comes in I'm hoping like any good Commission that there are people from multiple different backgrounds a very diverse Commission of all different ages as well so then when we're looking at you know any policy we can engage with that from a lot of different perspectives and i feel like tha
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",35,0,1,SPEAKER_04,1878.46,39,"these policies are fully ethical good thank you that's all right thank you council president Thank you, Theodore, for your willingness to serve. How would you handle a situation where someone you know is subject to an ethics complaint?"
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",70,0,1,SPEAKER_02,4540.76,16,much hello hello if you have any questions regarding the sewage module i can um provide
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",71,0,1,SPEAKER_09,4546.52,69,sure i know we've done a bunch of these and just for purposes of anyone listening wondering what we're speaking about this uh certifies that this project there's a adequate sewage capacity to proceed with this project and it is the first of uh many uh sort of applications and permit processes that m
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",91,0,1,SPEAKER_06,5051.48,567,uh tonight i'd like to take a moment to recognize the school district of lancaster and its incredible students over the years sdol and the city have built a strong and meaningful partnership and i want to recognize a few pieces of sdl news so first i want to congratulate mccaskey's unified track and
A2_size3_off0_repeat,"City Council Meeting - May 27, 2025 [vexHgMfzvKE]_standard",93,1,0,SPEAKER_05,5303.12,73,council tonight council president if i may counselor i just wanted to make the other members of council aware that the home rule study transition committee did meet on may 6th and went over both the administrative code as well as the ethics code which will be which we are currently doing the intervi
A2_size3_off0_repeat,"City Council Meeting - September 9, 2025 [H5Gp_GuYYYg]_standard",32,0,1,SPEAKER_03,1714.88,84,on this resolution thank you very much councilor hirsch i appreciate you bringing this to our attention and the explanation that you provided both here and writing to counselors so we had a full understanding of what's been going on are there any additional council comments on the resolution from th
